"","Site.ID","NS","Bay","Date","Month","Year","Day.of.Yr","effort","Alexandrium spp.","Cerataulina spp.","Ceratium furca morphotype","Ceratium longipes morphotype","Chaetoceros spp.","Coscinodiscus spp.","Dictyocha spp. (Chromophyte)","Dinophysis spp.","Ditylum spp.","Entomoneis spp.","Eucampia spp.","Fragilariopsis spp.","Guinardia spp.","Heterocapsa spp.","Lauderia spp.","Leptocylindrus spp.","Licmophora spp.","Melosira spp.","Navicula morphotype","Nitzschia morphotype","Odontella spp.","Pleurosigma morphotype","Protoperidinium spp.","Pseudo-nitzschia spp.","Rhizosolenia spp.","Scrippsiella","Skeletonema spp.","Stephanopyxis spp.","Striatella","Thalassionema spp.","Thalassiosira spp."
"1","HMH","N","HOM",2024-06-11,"Jun","2024",163,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,1
"2","KBL","S","KAS",2024-06-11,"Jun","2024",163,1,0,0,0,0,1,1,1,0,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,1
"3","EPE","S","EP",2016-09-18,"Sep","2016",262,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,0,1,1,1,1,0,0,1,1
"4","EPE","S","EP",2017-07-01,"Jul","2017",182,1,1,1,1,0,1,1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1
"5","EPE","S","EP",2017-07-13,"Jul","2017",194,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1
"6","EPE","S","EP",2017-07-15,"Jul","2017",196,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,1
"7","EPE","S","EP",2017-08-07,"Aug","2017",219,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,1,1,0,0,1,1
"8","EPE","S","EP",2018-05-24,"May","2018",144,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,1,1
"9","EPE","S","EP",2018-06-08,"Jun","2018",159,2,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,1,1,0,1,0,1,1,1
"10","EPE","S","EP",2018-08-01,"Aug","2018",213,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,1,1
"11","EPE","S","EP",2019-06-11,"Jun","2019",162,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,1,1,1,0,0,1,1
"12","EPE","S","EP",2019-07-19,"Jul","2019",200,1,1,1,0,1,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1
"13","EPE","S","EP",2019-09-19,"Sep","2019",262,1,1,0,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
"14","EPE","S","EP",2020-07-07,"Jul","2020",189,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1
