Species,Abundance,Site ID,SampleDate,Group,Flag_Duplicated
Chaetoceros spp.,A,SVB,6/5/2014,Diatom,Y
Chaetoceros spp.,A,SVB,6/5/2014,Diatom,Y
Ditylum spp.,P,SVB,6/5/2014,Diatom,Y
Ditylum spp.,P,SVB,6/5/2014,Diatom,Y
Fragilariopsis spp.,P,SVB,6/5/2014,Diatom,Y
Fragilariopsis spp.,P,SVB,6/5/2014,Diatom,Y
Leptocylindrus spp.,P,SVB,6/5/2014,Diatom,Y
Leptocylindrus spp.,P,SVB,6/5/2014,Diatom,Y
Licmophora spp.,P,SVB,6/5/2014,Diatom,Y
Licmophora spp.,P,SVB,6/5/2014,Diatom,Y
Pleurosigma morphotype,P,SVB,6/5/2014,Diatom,Y
Pleurosigma morphotype,P,SVB,6/5/2014,Diatom,Y
Protoperidinium spp.,P,SVB,6/5/2014,Dinoflagellate,Y
Protoperidinium spp.,P,SVB,6/5/2014,Dinoflagellate,Y
Pseudo-nitzschia spp.,A,SVB,6/5/2014,Diatom,Y
Pseudo-nitzschia spp.,A,SVB,6/5/2014,Diatom,Y
Rhizosolenia spp.,P,SVB,6/5/2014,Diatom,Y
Rhizosolenia spp.,P,SVB,6/5/2014,Diatom,Y
Scrippsiella,P,SVB,6/5/2014,Dinoflagellate,Y
Scrippsiella,P,SVB,6/5/2014,Dinoflagellate,Y
Skeletonema spp.,P,SVB,6/5/2014,Diatom,Y
Skeletonema spp.,P,SVB,6/5/2014,Diatom,Y
Stephanopyxis spp.,P,SVB,6/5/2014,Diatom,Y
Stephanopyxis spp.,P,SVB,6/5/2014,Diatom,Y
Thalassionema spp.,P,SVB,6/5/2014,Diatom,Y
Thalassionema spp.,P,SVB,6/5/2014,Diatom,Y
Thalassiosira spp.,P,SVB,6/5/2014,Diatom,Y
Thalassiosira spp.,P,SVB,6/5/2014,Diatom,Y
Chaetoceros spp.,A,HMH,7/11/2014,Diatom,Y
Chaetoceros spp.,P,HMH,7/11/2014,Diatom,Y
Pseudo-nitzschia spp.,A,HMH,7/11/2014,Diatom,Y
Pseudo-nitzschia spp.,B,HMH,7/11/2014,Diatom,Y
Alexandrium spp.,P,HMH,8/14/2014,Dinoflagellate,Y
Alexandrium spp.,P,HMH,8/14/2014,Dinoflagellate,Y
Ceratium furca morphotype,P,HMH,8/14/2014,Dinoflagellate,Y
Ceratium furca morphotype,P,HMH,8/14/2014,Dinoflagellate,Y
Chaetoceros spp.,P,HMH,8/14/2014,Diatom,Y
Chaetoceros spp.,P,HMH,8/14/2014,Diatom,Y
Dinophysis spp.,P,HMH,8/14/2014,Dinoflagellate,Y
Dinophysis spp.,P,HMH,8/14/2014,Dinoflagellate,Y
Ditylum spp.,P,HMH,8/14/2014,Diatom,Y
Ditylum spp.,P,HMH,8/14/2014,Diatom,Y
Leptocylindrus spp.,P,HMH,8/14/2014,Diatom,Y
Leptocylindrus spp.,P,HMH,8/14/2014,Diatom,Y
Pseudo-nitzschia spp.,P,HMH,8/14/2014,Diatom,Y
Pseudo-nitzschia spp.,P,HMH,8/14/2014,Diatom,Y
Ceratium furca morphotype,P,SVB,8/14/2014,Dinoflagellate,Y
Ceratium furca morphotype,P,SVB,8/14/2014,Dinoflagellate,Y
Ceratium longipes morphotype,P,SVB,8/14/2014,Dinoflagellate,Y
Ceratium longipes morphotype,P,SVB,8/14/2014,Dinoflagellate,Y
Chaetoceros spp.,P,SVB,8/14/2014,Diatom,Y
Chaetoceros spp.,P,SVB,8/14/2014,Diatom,Y
Dictyocha spp. (Chromophyte),P,SVB,8/14/2014,Silicoflagellate,Y
Dictyocha spp. (Chromophyte),P,SVB,8/14/2014,Silicoflagellate,Y
Dinophysis spp.,P,SVB,8/14/2014,Dinoflagellate,Y
Dinophysis spp.,P,SVB,8/14/2014,Dinoflagellate,Y
Ditylum spp.,P,SVB,8/14/2014,Diatom,Y
Ditylum spp.,P,SVB,8/14/2014,Diatom,Y
Licmophora spp.,P,SVB,8/14/2014,Diatom,Y
Licmophora spp.,P,SVB,8/14/2014,Diatom,Y
Nitzschia morphotype,P,SVB,8/14/2014,Diatom,Y
Nitzschia morphotype,P,SVB,8/14/2014,Diatom,Y
Noctiluca spp.,P,SVB,8/14/2014,Dinoflagellate,Y
Noctiluca spp.,P,SVB,8/14/2014,Dinoflagellate,Y
Pleurosigma morphotype,P,SVB,8/14/2014,Diatom,Y
Pleurosigma morphotype,P,SVB,8/14/2014,Diatom,Y
Protoperidinium spp.,P,SVB,8/14/2014,Dinoflagellate,Y
Protoperidinium spp.,P,SVB,8/14/2014,Dinoflagellate,Y
Pseudo-nitzschia spp.,P,SVB,8/14/2014,Diatom,Y
Pseudo-nitzschia spp.,P,SVB,8/14/2014,Diatom,Y
Rhizosolenia spp.,A,SVB,8/14/2014,Diatom,Y
Rhizosolenia spp.,A,SVB,8/14/2014,Diatom,Y
Stephanopyxis spp.,P,SVB,8/14/2014,Diatom,Y
Stephanopyxis spp.,P,SVB,8/14/2014,Diatom,Y
Thalassionema spp.,P,SVB,8/14/2014,Diatom,Y
Thalassionema spp.,P,SVB,8/14/2014,Diatom,Y
Thalassiosira spp.,P,SVB,8/14/2014,Diatom,Y
Thalassiosira spp.,P,SVB,8/14/2014,Diatom,Y
Ceratium furca morphotype,P,HMH,9/10/2014,Dinoflagellate,Y
Ceratium furca morphotype,P,HMH,9/10/2014,Dinoflagellate,Y
Dinophysis spp.,P,HMH,11/2/2016,Dinoflagellate,Y
Dinophysis spp.,P,HMH,11/2/2016,Dinoflagellate,Y
Protoperidinium spp.,P,HMH,11/2/2016,Dinoflagellate,Y
Protoperidinium spp.,P,HMH,11/2/2016,Dinoflagellate,Y
Chaetoceros socialis,P,SVB,4/12/2018,Diatom,Y
Chaetoceros socialis,P,SVB,4/12/2018,Diatom,Y
Entomoneis spp.,P,SVB,4/12/2018,Diatom,Y
Entomoneis spp.,P,SVB,4/12/2018,Diatom,Y
Odontella spp.,P,SVB,4/12/2018,Diatom,Y
Odontella spp.,P,SVB,4/12/2018,Diatom,Y
Thalassionema spp.,P,SVB,4/12/2018,Diatom,Y
Thalassionema spp.,P,SVB,4/12/2018,Diatom,Y
Chaetoceros spp.,A,HMH,6/4/2018,Diatom,Y
Chaetoceros spp.,P,HMH,6/4/2018,Diatom,Y
Leptocylindrus spp.,A,HMH,6/4/2018,Diatom,Y
Leptocylindrus spp.,P,HMH,6/4/2018,Diatom,Y
Nitzschia morphotype,P,HMH,6/4/2018,Diatom,Y
Nitzschia morphotype,P,HMH,6/4/2018,Diatom,Y
Pseudo-nitzschia spp.,P,HMH,6/4/2018,Diatom,Y
Pseudo-nitzschia spp.,P,HMH,6/4/2018,Diatom,Y
Rhizosolenia spp.,P,HMH,6/4/2018,Diatom,Y
Rhizosolenia spp.,P,HMH,6/4/2018,Diatom,Y
Skeletonema spp.,P,HMH,6/4/2018,Diatom,Y
Skeletonema spp.,P,HMH,6/4/2018,Diatom,Y
Thalassionema spp.,P,HMH,6/4/2018,Diatom,Y
Thalassionema spp.,P,HMH,6/4/2018,Diatom,Y
Chaetoceros spp.,P,SVB,8/16/2018,Diatom,Y
Chaetoceros spp.,P,SVB,8/16/2018,Diatom,Y
Coscinodiscus spp.,P,SVB,8/16/2018,Diatom,Y
Coscinodiscus spp.,P,SVB,8/16/2018,Diatom,Y
Dictyocha spp. (Chromophyte),P,SVB,8/16/2018,Silicoflagellate,Y
Dictyocha spp. (Chromophyte),P,SVB,8/16/2018,Silicoflagellate,Y
Entomoneis spp.,P,SVB,8/16/2018,Diatom,Y
Entomoneis spp.,P,SVB,8/16/2018,Diatom,Y
Leptocylindrus spp.,P,SVB,8/16/2018,Diatom,Y
Leptocylindrus spp.,P,SVB,8/16/2018,Diatom,Y
Navicula morphotype,P,SVB,8/16/2018,Diatom,Y
Navicula morphotype,P,SVB,8/16/2018,Diatom,Y
Protoperidinium spp.,P,SVB,8/16/2018,Dinoflagellate,Y
Protoperidinium spp.,P,SVB,8/16/2018,Dinoflagellate,Y
Pseudo-nitzschia spp.,P,SVB,8/16/2018,Diatom,Y
Pseudo-nitzschia spp.,P,SVB,8/16/2018,Diatom,Y
Thalassionema spp.,P,SVB,8/16/2018,Diatom,Y
Thalassionema spp.,P,SVB,8/16/2018,Diatom,Y
Thalassiosira spp.,P,SVB,8/16/2018,Diatom,Y
Thalassiosira spp.,P,SVB,8/16/2018,Diatom,Y
Thalassionema spp.,P,SVB,2/16/2023,Diatom,Y
Thalassionema spp.,P,SVB,2/16/2023,Diatom,Y
Thalassionema spp.,P,HMH,5/30/2023,Diatom,Y
Thalassionema spp.,P,HMH,5/30/2023,Diatom,Y
Scrippsiella,P,HMH,7/11/2023,Dinoflagellate,Y
Scrippsiella,P,HMH,7/11/2023,Dinoflagellate,Y
Ceratium furca morphotype,P,SVB,1/15/2010,Dinoflagellate,
Chaetoceros spp.,P,SVB,1/15/2010,Diatom,
Coscinodiscus spp.,P,SVB,1/15/2010,Diatom,
Protoperidinium spp.,P,SVB,1/15/2010,Dinoflagellate,
Chaetoceros spp.,P,HMH,2/2/2010,Diatom,
Leptocylindrus spp.,P,HMH,2/2/2010,Diatom,
Pleurosigma morphotype,P,HMH,2/2/2010,Diatom,
Bacillaria sp.,P,SVB,2/2/2010,Diatom,
Pleurosigma morphotype,P,SVB,2/2/2010,Diatom,
Coscinodiscus spp.,P,SVB,3/1/2010,Diatom,
Pleurosigma morphotype,P,SVB,3/1/2010,Diatom,
Coscinodiscus spp.,P,HMH,3/2/2010,Diatom,
Pleurosigma morphotype,P,HMH,3/2/2010,Diatom,
Bacillaria sp.,P,HMH,5/11/2010,Diatom,
Chaetoceros spp.,P,HMH,5/11/2010,Diatom,
Coscinodiscus spp.,P,HMH,5/11/2010,Diatom,
Pleurosigma morphotype,P,HMH,5/11/2010,Diatom,
Protoperidinium spp.,P,HMH,5/11/2010,Dinoflagellate,
Skeletonema spp.,P,HMH,5/11/2010,Diatom,
Thalassionema spp.,P,HMH,5/11/2010,Diatom,
Chaetoceros spp.,P,SVB,5/12/2010,Diatom,
Coscinodiscus spp.,P,SVB,5/12/2010,Diatom,
Ditylum spp.,P,SVB,5/12/2010,Diatom,
Protoperidinium spp.,P,SVB,5/12/2010,Dinoflagellate,
Rhizosolenia spp.,P,SVB,5/12/2010,Diatom,
Skeletonema spp.,P,SVB,5/12/2010,Diatom,
Chaetoceros spp.,A,HMH,6/22/2010,Diatom,
Coscinodiscus spp.,P,HMH,6/22/2010,Diatom,
Pleurosigma morphotype,P,HMH,6/22/2010,Diatom,
Bacillaria sp.,P,SVB,6/24/2010,Diatom,
Chaetoceros spp.,P,SVB,6/24/2010,Diatom,
Coscinodiscus spp.,P,SVB,6/24/2010,Diatom,
Navicula morphotype,P,SVB,6/24/2010,Diatom,
Nitzschia morphotype,P,SVB,6/24/2010,Diatom,
Pleurosigma morphotype,P,SVB,6/24/2010,Diatom,
Prorocentrum spp.,P,SVB,6/24/2010,Dinoflagellate,
Skeletonema spp.,P,SVB,6/24/2010,Diatom,
